,eventid,iyear,imonth,iday,country,country_txt,region,region_txt,city,latitude,longitude,success,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nwound,nwoundus,location
80,197002210002,1970,2,21,199,Switzerland,8,Western Europe,Zurich,47.36865,8.539182,1,3,Bombing/Explosion,6,Airports & Aircraft,199.0,Switzerland,6,Explosives,Explosive,47.0,,0.0,,
1085,197111200002,1971,11,20,201,Taiwan,4,East Asia,Unknown,23.583333,119.58333,1,3,Bombing/Explosion,6,Airports & Aircraft,44.0,China,6,Explosives,Explosive,25.0,,,,
1099,197112040001,1971,12,4,603,United Kingdom,8,Western Europe,Belfast,54.607712,-5.95621,1,3,Bombing/Explosion,1,Business,233.0,Northern Ireland,6,Explosives,Bomb,15.0,,,,
1314,197205300001,1972,5,30,97,Israel,10,Middle East & North Africa,Lod,32.004360999999996,34.888228999999995,1,3,Bombing/Explosion,6,Airports & Aircraft,97.0,Israel,5,Firearms,Automatic firearms; Grenades,26.0,,72.0,,
1342,197206150002,1972,6,15,428,South Vietnam,5,Southeast Asia,Pleiku,13.977955999999999,108.002298,1,3,Bombing/Explosion,6,Airports & Aircraft,89.0,Hong Kong,6,Explosives,Explosive,81.0,,0.0,,
1469,197209050002,1972,9,5,362,West Germany (FRG),8,Western Europe,Munich,48.139126,11.580186,1,1,Assassination,14,Private Citizens & Property,97.0,Israel,5,Firearms,Automatic firearms,16.0,,,,
2138,197312170002,1973,12,17,98,Italy,8,Western Europe,Rome,41.890961,12.490069,1,5,Hostage Taking (Barricade Incident),6,Airports & Aircraft,217.0,United States,5,Firearms,Automatic firearms; Grenades; Incendiary,30.0,30.0,50.0,50.0,
2139,197312170003,1973,12,17,98,Italy,8,Western Europe,Rome,41.890961,12.490069,1,4,Hijacking,6,Airports & Aircraft,75.0,Germany,5,Firearms,Submachine guns; Grenades,31.0,,,,
2225,197402040006,1974,2,4,603,United Kingdom,8,Western Europe,Batley,53.717059,-1.635032,1,3,Bombing/Explosion,4,Military,216.0,Great Britain,6,Explosives,Explosive,12.0,,14.0,,
2326,197404110001,1974,4,11,97,Israel,10,Middle East & North Africa,Qiryat Shemona,33.208509,35.570347999999996,1,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,97.0,Israel,5,Firearms,Automatic firearms; Explosive,21.0,,,,
2380,197405170001,1974,5,17,96,Ireland,8,Western Europe,Dublin,53.361675,-6.2454849999999995,1,3,Bombing/Explosion,14,Private Citizens & Property,96.0,Ireland,6,Explosives,Car bomb,26.0,,,,
2382,197405180001,1974,5,18,97,Israel,10,Middle East & North Africa,Maalot,33.014796999999994,35.275805,1,3,Bombing/Explosion,8,Educational Institution,97.0,Israel,5,Firearms,Automatic firearm; Explosive,25.0,,70.0,,
2460,197406250001,1974,6,25,97,Israel,10,Middle East & North Africa,Nahariyya,33.004219,35.092571,1,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,97.0,Israel,5,Firearms,Automatic firearms,14.0,,,,
2499,197408040001,1974,8,4,98,Italy,8,Western Europe,Bologna,44.49419,11.346518,1,3,Bombing/Explosion,19,Transportation,98.0,Italy,6,Explosives,Explosive,12.0,,48.0,,
2531,197409080002,1974,9,8,78,Greece,8,Western Europe,Athens,37.99749,23.762728,1,3,Bombing/Explosion,6,Airports & Aircraft,217.0,United States,6,Explosives,Explosive,88.0,,0.0,,
2538,197409130002,1974,9,13,185,Spain,8,Western Europe,Madrid,40.465595,-3.6962629999999996,1,3,Bombing/Explosion,1,Business,185.0,Spain,6,Explosives,Explosive,12.0,,70.0,,
